0.00	19.120	-19.120
2.83	19.620	-18.620
5.67	20.120	-18.121
8.50	20.909	-17.621
11.34	21.409	-17.121
14.17	21.908	-16.622
17.00	22.408	-16.122
19.84	22.908	-15.622
22.67	23.118	-15.123
25.51	23.618	-14.623
28.34	24.117	-14.413
31.17	24.907	-13.913
34.01	25.986	-13.124
36.84	26.486	-12.045
39.68	26.985	-11.255
42.51	26.906	-10.466
45.34	26.826	-9.966
48.18	26.167	-10.046
51.01	25.508	-10.125
53.85	24.739	-10.314
56.68	23.357	-10.828
59.51	22.264	-11.630
62.35	20.882	-12.723
65.18	19.790	-14.105
68.02	18.407	-15.777
70.85	17.025	-17.159
73.68	15.643	-18.542
76.52	14.261	-19.634
79.35	12.879	-21.016
82.19	11.786	-22.109
85.02	10.983	-23.491
87.85	10.470	-24.584
90.69	10.125	-25.508
93.52	10.046	-26.167
96.36	9.966	-26.826
99.19	10.466	-26.906
102.02	11.255	-26.985
104.86	12.045	-26.486
107.69	13.124	-25.986
110.53	13.913	-24.907
113.36	14.413	-24.117
116.19	14.623	-23.618
119.03	15.123	-23.118
121.86	15.622	-22.908
124.70	16.122	-22.408
127.53	16.622	-21.908
130.36	17.121	-21.409
133.20	17.621	-20.909
136.03	18.121	-20.120
138.87	18.620	-19.620
141.70	19.120	-19.120
144.53	19.620	-18.620
147.37	20.120	-18.121
150.20	20.909	-17.621
153.04	21.409	-17.121
155.87	21.908	-16.622
158.70	22.408	-16.122
161.54	22.908	-15.622
164.37	23.118	-15.123
167.21	23.618	-14.623
170.04	24.117	-14.413
172.87	24.907	-13.913
175.71	25.986	-13.124
178.54	26.486	-12.045
181.38	26.985	-11.255
184.21	26.906	-10.466
187.04	26.826	-9.966
189.88	26.167	-10.046
192.71	25.508	-10.125
195.55	24.739	-10.314
198.38	23.357	-10.828
201.21	22.264	-11.630
204.05	20.882	-12.723
206.88	19.790	-14.105
209.72	18.407	-15.777
212.55	17.025	-17.159
215.38	15.643	-18.542
218.22	14.261	-19.634
221.05	12.879	-21.016
223.89	11.786	-22.109
226.72	10.983	-23.491
229.55	10.470	-24.584
232.39	10.125	-25.508
235.22	10.046	-26.167
238.06	9.966	-26.826
240.89	10.466	-26.906
243.72	11.255	-26.985
246.56	12.045	-26.486
249.39	13.124	-25.986
252.23	13.913	-24.907
255.06	14.413	-24.117
257.89	14.623	-23.618
260.73	15.123	-23.118
263.56	15.622	-22.908
266.40	16.122	-22.408
269.23	16.622	-21.908
272.06	17.121	-21.409
274.90	17.621	-20.909
277.73	18.121	-20.120
280.57	18.620	-19.620
